"","sub","item","cond","seq","trial_type","trial_start","trial_end","target_word_n","target_word","target_changed","Dis_on_t","Dis_off_t","boundary","DC_start_t","DC_end_t","boundary_t","boundarycond","Display_time","Display_lat","sacc_start_t","sacc_end_t","sacc_dur","sacc_start_x","sacc_end_x","sacc_ampl","peak_vel","avg_vel","blink","blink_dur","fix_start_t","fix_end_t","fix_dur","question","corrAns","key_resp","RT_q","accuracy","corr_sacc","jhook"
"35",3,22,"ben",35,"exp_1",3283915,3287641,7,"ge?","bir",3284955,3287324,"593",3286071,3286077,3286069,"sacc",5.636,2,3286050,3286081,31,498.4,645.3,3.62843,239.59,112.385,"NO",NA,3286082,3286444,362,"No",NA,NA,NA,NA,"Yes",NA
"36",3,23,"identical",36,"exp_1",3289619,3292959,6,"kez","identical",3290181,3292635,"642",3291332,3291341,3291330,"identical",8.711,2,3291316,3291339,23,588.6,676.8,2.17854,171.665000000001,89.6404166666666,"NO",NA,3291340,3291541,201,"No",NA,NA,NA,NA,NA,NA
"37",3,8,"ben",37,"exp_1",3295092,3299379,4,"ney","bir",3296722,3299061,"316",3297373,3297381,3297371,"sacc",7.801,2,3297361,3297378,17,286.5,336.5,1.235,98.8,66.4155555555556,"NO",NA,3297379,3297664,285,"No",NA,NA,NA,NA,"Yes",NA
"38",3,19,"identical",38,"exp_1",3301327,3304981,4,"i?i","identical",3301911,3304667,"544",3303207,3303217,3303206,"identical",9.238,1,3303197,3303221,24,520.3,623.1,2.53916,187.720000000001,100.7266,"NO",NA,3303222,3303494,272,"No",NA,NA,NA,NA,NA,NA
"39",3,72,"ben",39,"exp_1",3306983,3312059,10,"kez","ben",3307442,3311740,"893",3309843,3309853,3309842,"sacc",9.403,1,3309806,3309847,41,567.4,910.3,8.46963,389.025,201.422619047619,"NO",NA,3309848,3310225,377,"No",NA,NA,NA,NA,"Yes",NA
"40",3,53,"identical",40,"exp_1",3314015,3317094,6,"ile","identical",3314575,3316784,"508",3315631,3315638,3315629,"identical",6.968,2,3315623,3315650,27,500.3,655.8,3.84085,301.34,136.335178571429,"NO",NA,3315651,3315804,153,"No",NA,NA,NA,NA,NA,NA
"41",3,45,"identical",41,"exp_1",3319154,3324248,8,"s?t","identical",3319880,3323181,"651",3321254,3321261,3321375,"identical",6.752,-121,3321526,3321551,25,648.6,742,2.30698,180.31,93.29,"NO",NA,3321552,3321839,287,"Yes","RIGHT","left",741.527,0,NA,NA
"42",3,76,"ben",42,"exp_1",3326393,3330509,7,"ruj","ben",3326951,3330193,"654",3328462,3328469,3328459,"sacc",6.621,3,3328451,3328466,15,636.8,674.9,0.941070000000001,118.56,58.6625,"NO",NA,3328467,3328957,490,"No",NA,NA,NA,NA,"Yes",NA
"43",3,48,"ben",43,"exp_1",3332423,3336219,5,"ta?","ben",3333091,3335908,"521",3334040,3334046,3334038,"fix",5.547,2,3334627,3334645,18,527.6,579.8,1.28934,111.15,64.3499999999999,"NO",NA,3334039,3334626,587,"No",NA,NA,NA,NA,"Yes",NA
"44",3,73,"identical",44,"exp_1",3338379,3343981,9,"hak","identical",3338909,3342283,"844",3340973,3340983,3340970,"identical",9.086,3,3340936,3340982,46,473.9,878.7,9.99856,445.835,212.709042553192,"NO",NA,3340983,3341354,371,"Yes","LEFT","left",1368.648,1,NA,NA
