"","sub","item","cond","boundaryN","wordN","word","trial_type"
"199",1,111,"identical",5,1,"Do?udaki","exp_2"
"200",1,111,"identical",5,2,"insanlar","exp_2"
"201",1,111,"identical",5,3,"bat?ya","exp_2"
"202",1,111,"identical",5,4,"do?ru","exp_2"
"203",1,111,"identical",5,5,"g??","exp_2"
"204",1,111,"identical",5,6,"ediyor.","exp_2"
"205",1,128,"ben",6,1,"Yar?n","exp_2"
"206",1,128,"ben",6,2,"ak?am","exp_2"
"207",1,128,"ben",6,3,"arkada?lar?mla","exp_2"
"208",1,128,"ben",6,4,"uzun","exp_2"
"209",1,128,"ben",6,5,"zamand?r","exp_2"
"210",1,128,"ben",6,6,"?ok","exp_2"
"211",1,128,"ben",6,7,"gitmek","exp_2"
"212",1,128,"ben",6,8,"istedi?imiz","exp_2"
"213",1,128,"ben",6,9,"restorana","exp_2"
"214",1,128,"ben",6,10,"gidece?iz.","exp_2"
"215",1,145,"identical",5,1,"Zeynep'in","exp_2"
"216",1,145,"identical",5,2,"haz?rlad???","exp_2"
"217",1,145,"identical",5,3,"?dev","exp_2"
"218",1,145,"identical",5,4,"?ok","exp_2"
"219",1,145,"identical",5,5,"iyi","exp_2"
"220",1,145,"identical",5,6,"olmu?","exp_2"
"221",1,145,"identical",5,7,"bu","exp_2"
"222",1,145,"identical",5,8,"y?zden","exp_2"
"223",1,145,"identical",5,9,"y?ksek","exp_2"
"224",1,145,"identical",5,10,"puan","exp_2"
"225",1,145,"identical",5,11,"alaca??n?","exp_2"
"226",1,145,"identical",5,12,"d???n?yorum.","exp_2"
"227",1,122,"ben",8,1,"E?er","exp_2"
"228",1,122,"ben",8,2,"bu","exp_2"
"229",1,122,"ben",8,3,"?d?l?","exp_2"
"230",1,122,"ben",8,4,"kazanmak","exp_2"
"231",1,122,"ben",8,5,"istiyorsan","exp_2"
"232",1,122,"ben",8,6,"bunun","exp_2"
"233",1,122,"ben",8,7,"i?in","exp_2"
"234",1,122,"ben",8,8,"?ok","exp_2"
"235",1,122,"ben",8,9,"?al??mal?s?n","exp_2"
"236",1,122,"ben",8,10,"ve","exp_2"
"237",1,122,"ben",8,11,"tembellik","exp_2"
"238",1,122,"ben",8,12,"etmemelisin.","exp_2"
"239",1,123,"identical",6,1,"En","exp_2"
"240",1,123,"identical",6,2,"sevdi?im","exp_2"
"241",1,123,"identical",6,3,"arkada??m","exp_2"
"242",1,123,"identical",6,4,"bug?n","exp_2"
"243",1,123,"identical",6,5,"bizim","exp_2"
"244",1,123,"identical",6,6,"eve","exp_2"
"245",1,123,"identical",6,7,"geldi","exp_2"
"246",1,123,"identical",6,8,"ve","exp_2"
"247",1,123,"identical",6,9,"annemin","exp_2"
"248",1,123,"identical",6,10,"yemeklerine","exp_2"
"249",1,123,"identical",6,11,"bay?ld?.","exp_2"
"250",1,146,"ben",10,1,"E?er","exp_2"
"251",1,146,"ben",10,2,"s?navdan","exp_2"
"252",1,146,"ben",10,3,"iyi","exp_2"
"253",1,146,"ben",10,4,"bir","exp_2"
"254",1,146,"ben",10,5,"not","exp_2"
"255",1,146,"ben",10,6,"alm??","exp_2"
"256",1,146,"ben",10,7,"olsayd?m","exp_2"
"257",1,146,"ben",10,8,"tatile","exp_2"
"258",1,146,"ben",10,9,"arkada?lar?m","exp_2"
"259",1,146,"ben",10,10,"ile","exp_2"
"260",1,146,"ben",10,11,"gidecektim","exp_2"
"261",1,146,"ben",10,12,"ama","exp_2"
"262",1,146,"ben",10,13,"notlar?m","exp_2"
"263",1,146,"ben",10,14,"k?t?","exp_2"
"264",1,146,"ben",10,15,"geldi","exp_2"
"265",1,146,"ben",10,16,"bu","exp_2"
"266",1,146,"ben",10,17,"y?zden","exp_2"
"267",1,146,"ben",10,18,"evde","exp_2"
"268",1,146,"ben",10,19,"kald?m.","exp_2"
"269",1,153,"identical",8,1,"Babam","exp_2"
"270",1,153,"identical",8,2,"yar?n","exp_2"
"271",1,153,"identical",8,3,"piknikte","exp_2"
"272",1,153,"identical",8,4,"arkada?lar?m","exp_2"
"273",1,153,"identical",8,5,"ile","exp_2"
"274",1,153,"identical",8,6,"oynayabilmem","exp_2"
"275",1,153,"identical",8,7,"i?in","exp_2"
"276",1,153,"identical",8,8,"top","exp_2"
"277",1,153,"identical",8,9,"ald?","exp_2"
"278",1,153,"identical",8,10,"ama","exp_2"
"279",1,153,"identical",8,11,"arkada?lar?m","exp_2"
"280",1,153,"identical",8,12,"oynamak","exp_2"
"281",1,153,"identical",8,13,"istemedi.","exp_2"
"282",1,157,"identical",8,1,"Bug?nk?","exp_2"
"283",1,157,"identical",8,2,"partiye","exp_2"
"284",1,157,"identical",8,3,"erken","exp_2"
"285",1,157,"identical",8,4,"haz?rlanmaya","exp_2"
"286",1,157,"identical",8,5,"ba?lamas?na","exp_2"
"287",1,157,"identical",8,6,"ra?men","exp_2"
"288",1,157,"identical",8,7,"yine","exp_2"
"289",1,157,"identical",8,8,"ge?","exp_2"
"290",1,157,"identical",8,9,"kald?","exp_2"
"291",1,157,"identical",8,10,"ve","exp_2"
"292",1,157,"identical",8,11,"ilk","exp_2"
"293",1,157,"identical",8,12,"gelenleri","exp_2"
"294",1,157,"identical",8,13,"kar??layamad?.","exp_2"
"295",1,147,"identical",7,1,"Terziye","exp_2"
"296",1,147,"identical",7,2,"daraltmas?","exp_2"
"297",1,147,"identical",7,3,"i?in","exp_2"
"298",1,147,"identical",7,4,"verdi?im","exp_2"
"299",1,147,"identical",7,5,"ete?im","exp_2"
"300",1,147,"identical",7,6,"?ok","exp_2"
"301",1,147,"identical",7,7,"dar","exp_2"
"302",1,147,"identical",7,8,"olmu?","exp_2"
"303",1,147,"identical",7,9,"ama","exp_2"
"304",1,147,"identical",7,10,"yine","exp_2"
"305",1,147,"identical",7,11,"de","exp_2"
"306",1,147,"identical",7,12,"ho?uma","exp_2"
"307",1,147,"identical",7,13,"gitti.","exp_2"
"308",1,84,"ben",6,1,"G?z","exp_2"
"309",1,84,"ben",6,2,"g?z?","exp_2"
"310",1,84,"ben",6,3,"g?rm?yordu","exp_2"
"311",1,84,"ben",6,4,"??nk?","exp_2"
"312",1,84,"ben",6,5,"havay?","exp_2"
"313",1,84,"ben",6,6,"sis","exp_2"
"314",1,84,"ben",6,7,"kaplam??t?","exp_2"
"315",1,84,"ben",6,8,"bu","exp_2"
"316",1,84,"ben",6,9,"sebeple","exp_2"
"317",1,84,"ben",6,10,"kaza","exp_2"
"318",1,84,"ben",6,11,"yapt?lar.","exp_2"
"319",1,93,"identical",4,1,"Formlar?","exp_2"
"320",1,93,"identical",4,2,"imzalamadan","exp_2"
"321",1,93,"identical",4,3,"?nce","exp_2"
"322",1,93,"identical",4,4,"hep","exp_2"
"323",1,93,"identical",4,5,"okumal?s?n","exp_2"
"324",1,93,"identical",4,6,"ki","exp_2"
"325",1,93,"identical",4,7,"bir","exp_2"
"326",1,93,"identical",4,8,"?eyi","exp_2"
"327",1,93,"identical",4,9,"g?zden","exp_2"
"328",1,93,"identical",4,10,"ka??rma.","exp_2"
"329",1,99,"identical",6,1,"?ok","exp_2"
"330",1,99,"identical",6,2,"hasta","exp_2"
"331",1,99,"identical",6,3,"oldu?um","exp_2"
"332",1,99,"identical",6,4,"i?in","exp_2"
"333",1,99,"identical",6,5,"okula","exp_2"
"334",1,99,"identical",6,6,"zor","exp_2"
"335",1,99,"identical",6,7,"gittim","exp_2"
"336",1,99,"identical",6,8,"ve","exp_2"
"337",1,99,"identical",6,9,"derslere","exp_2"
"338",1,99,"identical",6,10,"odaklanamad?m.","exp_2"
"339",1,149,"identical",6,1,"Kapadokya'ya","exp_2"
"340",1,149,"identical",6,2,"t?m","exp_2"
